,latitude,longitude
842400,41.74099936625513,-87.63074134979428
840300,41.83019553535356,-87.68189355555552
841100,41.85058152444443,-87.6347978311112
841200,41.85544335897437,-87.68247357264958
839000,41.87166972519081,-87.63119441984735
838200,41.87015977297297,-87.6748560594595
650301,41.77466888549619,-87.72972251908396
530503,41.66466498101263,-87.63777780379748
760803,41.97567398963729,-87.84394302072536
030601,41.98862792957745,-87.65694597183101
030604,41.98549908620689,-87.65416858620694
020801,41.98656377647059,-87.69451784705885
540102,41.66464034513277,-87.60305383480825
843300,41.86459146153847,-87.69273511538468
540101,41.6514879265537,-87.60261463559323
440201,41.748225312500004,-87.61018194791666
080202,41.905945032786896,-87.63078998360655
070102,41.93108875000001,-87.64288647916665
031501,41.96730469230768,-87.6522653653846
031502,41.963549865384614,-87.65194069230772
834900,41.772990792792775,-87.65683301801808
834800,41.783092590909106,-87.64502458181818
160502,41.9558916627907,-87.71303889534884
140702,41.96404051041667,-87.71338917708333
842000,41.83532976666668,-87.62461433333337
150402,41.95672300925926,-87.77201144444446
834400,41.77672036904762,-87.59633392857145
040201,41.9723749174312,-87.69373266972475
040202,41.97989849438202,-87.6942254044944
020702,41.99822557352941,-87.70650819852942
020802,41.994174123456794,-87.69451874074075
020301,42.00641201538462,-87.70461548461535
838700,41.86265647407407,-87.71935428148151
020601,42.00084973684211,-87.70248258947365
841500,41.86143019117647,-87.70735841911763
838600,41.86778881481482,-87.70075404938271
837300,41.87154970212767,-87.70557030851067
020602,42.00150223076923,-87.6936092051282
063301,41.93444661403509,-87.64339421052628
837800,41.88504784782607,-87.68396045652176
837400,41.876324765625014,-87.69400134375003
836900,41.88166873770492,-87.70560098360657
020302,42.00830487401575,-87.6943350472441
020902,41.99409324999999,-87.67865859615382
010701,42.00906685263159,-87.67834769473683
030103,41.995369714285715,-87.65735226984125
063303,41.934481375,-87.63427003125003
030102,41.99347701470589,-87.65762066176468
010502,42.00466020253166,-87.66376299999997
010503,42.000445469879516,-87.66287927710842
010702,42.008968011627914,-87.67323359302324
837100,41.88573136956522,-87.69904071014494
837000,41.87823097931034,-87.69849648275861
010201,42.01654380487806,-87.68045075609754
020901,41.994074973684214,-87.68547138157892
040401,41.97197047311828,-87.68636288172041
210602,41.93463613533835,-87.71280660150374
160501,41.95904072839504,-87.71346730864197
191302,41.92115631707318,-87.7708558780488
190602,41.92777130973451,-87.77006003539826
840200,41.84521780116958,-87.64734812280705
530501,41.673933040462416,-87.63209473410413
020701,41.986888426966296,-87.70389001123597
831400,41.869315156521736,-87.75724625652175
831300,41.90802633050847,-87.74554104237289
010501,42.00942532203391,-87.66408511864405
833000,41.88526200373133,-87.65699814925372
760801,41.983840197860964,-87.84582266844919
252101,41.875389166666686,-87.76882319230766
252102,41.87682765540542,-87.75980444594589
252202,41.8765352,-87.74426769285714
220601,41.92565908695651,-87.71259739130436
210502,41.93402789189192,-87.72215557657654
220602,41.92882386764707,-87.71088848529418
220901,41.91944370192307,-87.72118154807691
220902,41.922476955357126,-87.721791125
200401,41.91990365168539,-87.7374588314607
200402,41.9196621509434,-87.72917481132076
191301,41.92093227173911,-87.78052280434784
190601,41.92752499999998,-87.78042171276597
190701,41.929949196969694,-87.76184012121216
190702,41.92568153086419,-87.76058023456788
190401,41.93447988043478,-87.7810799130435
190402,41.93484692783504,-87.771222
832100,41.952619637499986,-87.65368074999999
843800,41.8016221935484,-87.64206495161292
842800,41.80842624999997,-87.69874689361703
351500,41.827939375,-87.62763344444447
980100,41.786231069767446,-87.74964594767442
833300,41.87276617647059,-87.65424879738563
832900,41.87407696850392,-87.66143670078743
838000,41.87728267375886,-87.68176849645387
838100,41.87825125142858,-87.6711199371428
030706,41.97998922641512,-87.65320345283023
381500,41.810183487179486,-87.62263787179486
